player_id,long_name,short_name,nationality,height_cm,last_edition
208268,Bryan Cristante,B. Cristante,Italy,186,24
208920,Nathan Aké,N. Aké,Netherlands,180,24
213331,Jonathan Tah,J. Tah,Germany,195,24
216388,Allan Saint-Maximin,A. Saint-Maximin,France,173,24
222737,Malcom Filipe Silva de Oliveira,Malcom,Brazil,172,24
225126,Ellyes Joris Skhiri,E. Skhiri,Tunisia,185,24
226226,Giovani Lo Celso,G. Lo Celso,Argentina,177,24
227950,Yeray Álvarez López,Yeray,Spain,182,24
232730,鎌田 大地,D. Kamada,Japan,184,24
233096,Denzel Justus Morris Dumfries,D. Dumfries,Netherlands,188,24
235944,Brais Méndez Portela,Brais Méndez,Spain,187,24
236276,Arnaut Danjuma Adam Groeneveld,A. Danjuma,Netherlands,178,24
236786,Martin Terrier,M. Terrier,France,184,24
252308,Almoatasembellah Ali Mohamed Al musrati,A. Al Musrati,Libya,189,24
120533,Kléper Laveran de Lima Ferreira,Pepe,Portugal,188,24
140233,Francisco Guillermo Ochoa Magaña,G. Ochoa,Mexico,185,24
157481,Raúl Albiol Tortajada,Raúl Albiol,Spain,190,24
163587,Kasper Peter Schmeichel,K. Schmeichel,Denmark,189,24
168651,Ivan Rakitić,I. Rakitić,Croatia,184,24
175943,Dries Mertens,D. Mertens,Belgium,169,24
178005,Rui Pedro dos Santos Patrício,Rui Patrício,Portugal,190,24
178213,Etienne Capoue,E. Capoue,France,190,24
179645,Simon Thorup Kjær,S. Kjær,Denmark,190,24
184087,Toby Albertine Maurits Alderweireld,T. Alderweireld,Belgium,186,24
184941,Alexis Alejandro Sánchez Sánchez,A. Sánchez,Chile,169,24
189575,Iker Muniain Goñi,Muniain,Spain,170,24
190941,Lukáš Hrádecký,L. Hrádecký,Finland,192,24
191202,Nemanja Matić,N. Matić,Serbia,194,24
192563,Bernd Leno,B. Leno,Germany,189,24
192883,Henrikh Mkhitaryan,H. Mkhitaryan,Armenia,177,24
197655,Sebastián Coates Nión,S. Coates,Uruguay,196,24
198219,Lorenzo Insigne,L. Insigne,Italy,163,24
198717,Wilfried Zaha,W. Zaha,Côte d'Ivoire,180,24
199304,Danilo Luiz da Silva,Danilo,Brazil,184,24
199915,Lewis Dunk,L. Dunk,England,192,24
200260,Steven Berghuis,S. Berghuis,Netherlands,182,24
200888,Danilo Luís Hélio Pereira,Danilo Pereira,Portugal,188,24
201455,Geoffrey Edwin Kondogbia,G. Kondogbia,Central African Republic,188,24
201995,Felipe Anderson Pereira Gomes,Felipe Anderson,Brazil,175,24
204614,Mário Rui Silva Duarte,Mário Rui,Portugal,170,24
205175,Arkadiusz Krystian Milik,A. Milik,Poland,186,24
206511,Maximilian Arnold,M. Arnold,Germany,184,24
207421,Leandro Trossard,L. Trossard,Belgium,171,24
207566,William Silva de Carvalho,William Carvalho,Portugal,187,24
208618,Lucas Vázquez Iglesias,Lucas Vázquez,Spain,173,24
209297,Frederico Rodrigues de Paula Santos,Fred,Brazil,169,24
209519,Gaëtan Laborde,G. Laborde,France,181,24
210385,Rui Tiago Dantas da Silva,Rui Silva,Portugal,191,24
212523,Anderson Souza Conceição,Anderson Talisca,Brazil,189,24
214097,Benjamin Bourigeaud,B. Bourigeaud,France,178,24
215316,Gerónimo Rulli,G. Rulli,Argentina,189,24
215333,Duván Esteban Zapata Banguera,D. Zapata,Colombia,189,24
216201,Iñaki Williams Arthuer,Iñaki Williams,Ghana,186,24
216354,Andrej Kramarić,A. Kramarić,Croatia,177,24
216409,Matteo Politano,M. Politano,Italy,171,24
219693,Diego Carlos Santos Silva,Diego Carlos,Brazil,186,24
221992,Hirving Rodrigo Lozano Bahena,H. Lozano,Mexico,175,24
226271,Fabián Ruiz Peña,Fabián Ruiz,Spain,189,24
230256,Adryan Juliano Zonta Torres,Adryan Zonta,Brazil,172,24
230258,Rosival Jailson Dourado Santos,Rosival Dourado,Brazil,175,24
230294,Louri Adriano Bisesi Barbosa,Adriano Bisesi,Brazil,188,24
230347,Welington Kauê Dano Nascimento,Welington Dano,Brazil,178,24
230384,Nailton Suzuki Ito,Nailton Suzuki,Brazil,180,24
230430,Marvin Oswaldo Rangel Azevedo,Oswaldinato,Brazil,184,24
230977,Miguel Ángel Almirón Rejala,M. Almirón,Paraguay,174,24
236045,Reinildo Isnard Mandava,Reinildo,Mozambique,180,24
239093,Jonathan Clauss,J. Clauss,France,178,24
244263,Amir Rrahmani,A. Rrahmani,Kosovo,192,24
251852,Karim-David Adeyemi,K. Adeyemi,Germany,180,24
256903,Gonçalo Matias Ramos,Gonçalo Ramos,Portugal,185,24
260815,Arnau Martínez López,Arnau Martínez,Spain,181,24
237681,久保 建英,T. Kubo,Japan,173,24
239807,Davide Frattesi,D. Frattesi,Italy,178,24
241390,Eljif Elmas,E. Elmas,North Macedonia,184,24
246191,Julián Álvarez,J. Álvarez,Argentina,170,24
262621,Giorgi Mamardashvili,G. Mamardashvili,Georgia,199,24
231410,Brahim Abdelkader Díaz,Brahim,Spain,171,24
234569,Florentino Ibrain Morris Luís,Florentino,Portugal,184,24
235619,Marcus Edwards,M. Edwards,England,168,24
236987,Boubacar Bernard Kamara,B. Kamara,France,184,24
237221,Juan Marcos Foyth,J. Foyth,Argentina,187,24
248148,Martín Zubimendi Ibáñez,Zubimendi,Spain,181,24
256079,Moisés Isaac Caicedo Corozo,M. Caicedo,Ecuador,178,24
231352,Tammy Bakumo-Abraham,T. Abraham,England,195,24
231521,Exequiel Alejandro Palacios,E. Palacios,Argentina,178,24
233738,Igor Zubeldía Elorza,Zubeldia,Spain,181,24
234574,José Diogo Dalot Teixeira,Diogo Dalot,Portugal,184,24
235997,Francisco José Beltrán Peinado,Fran Beltrán,Spain,165,24
236355,Luiz Felipe Ramos Marchi,Luiz Felipe,Italy,187,24
236804,Facundo Axel Medina,F. Medina,Argentina,184,24
237985,Kevin Danso,K. Danso,Austria,190,24
238067,Nicolò Zaniolo,N. Zaniolo,Italy,190,24
243593,Armand Laurienté,A. Laurienté,France,177,24
245630,Youssouf Fofana,Y. Fofana,France,185,24
246186,Arthur Mendonça Cabral,Arthur Cabral,Brazil,186,24
247103,Dávid Hancko,D. Hancko,Slovakia,188,24
