player_id,player,last_season,country_of_birth,city_of_birth,country_of_citizenship,foot,height_in_cm,highest_market_value_in_eur
217115,Neal Maupay,2024,France,Versailles,France,right,171.0,22000000.0
217144,Aleix Febas,2021,Spain,Lleida,Spain,right,172.0,4000000.0
218067,Jacopo Petriccione,2020,Italy,Gorizia,Italy,right,176.0,3000000.0
218087,Ben Osborn,2023,England,Derby,England,left,176.0,3000000.0
220878,Issiaga Sylla,2024,Guinea,Conakry,Guinea,left,180.0,3500000.0
221025,André Gomes,2024,Portugal,Grij,Portugal,right,190.0,30000000.0
221150,Djené,2024,Togo,Lome Dapaong,Togo,right,178.0,30000000.0
221151,Jodel Dossou,2022,Benin,Dassa-Zoum,Benin,right,171.0,2000000.0
221309,Óscar Plano,2022,Spain,Mstoles,Spain,both,179.0,4000000.0
221311,Iván Sánchez,2024,Spain,Jan,Spain,left,169.0,1200000.0
221315,Kevin Vázquez,2023,Spain,Nigrn,Spain,right,175.0,2000000.0
221316,Lucas Vázquez,2024,Spain,A Corua,Spain,right,173.0,25000000.0
221611,Paulo Otávio,2022,Brazil,Ourinhos,Brazil,left,173.0,8000000.0
222859,Florent Mollet,2024,France,Fontaine-ls-Dijon,France,right,175.0,9000000.0
223572,Kai Pröger,2019,Germany,Wilhelmshaven,Germany,right,177.0,1800000.0
223725,Munir El Haddadi,2024,Spain,El Escorial,Morocco,left,177.0,12000000.0
223967,Konrad Laimer,2024,Austria,Salzburg,Austria,right,180.0,30000000.0
223974,Stefan Posch,2024,Austria,Judenburg,Austria,right,190.0,14000000.0
223979,Xaver Schlager,2024,Austria,Linz,Austria,left,174.0,28000000.0
225015,Carlos Akapo,2021,Spain,Elche,Equatorial Guinea,right,179.0,1200000.0
225083,N'Golo Kanté,2022,,Paris,,right,171.0,100000000.0
225122,Gonçalo Guedes,2024,Portugal,Benavente,Portugal,right,179.0,40000000.0
225161,Rúben Neves,2022,Portugal,Santa Maria da Feira,Portugal,right,180.0,50000000.0
225452,Patrick Roberts,2021,England,Kingston-upon-Thames,England,left,167.0,7500000.0
225462,José Mari,2023,Spain,Rota (Cdiz),Spain,right,182.0,800000.0
225593,Pere Milla,2024,Spain,Lleida,Spain,left,180.0,3000000.0
225657,Philipp Lienhart,2024,Austria,Lilienfeld,Austria,right,189.0,20000000.0
225693,Fabinho,2022,Brazil,Campinas,Brazil,right,188.0,70000000.0
225873,Karol Linetty,2024,Poland,nin,Poland,right,175.0,15000000.0
226025,Luca Mazzitelli,2023,Italy,Roma,Italy,right,184.0,4000000.0
226261,César de la Hoz,2022,Spain,Orejo,Spain,right,179.0,1200000.0
226524,Morten Thorsby,2024,Norway,Oslo,Norway,right,188.0,7000000.0
226973,Harrison Reed,2024,England,Worthing,England,right,181.0,18000000.0
227081,Joaquín Correa,2024,Argentina,Juan Bautista Alberdi,Argentina,right,188.0,38000000.0
227084,Benedikt Gimber,2024,Germany,Buchen,Germany,left,187.0,3000000.0
227085,Jonas Hofmann,2019,Germany,Bamberg,Germany,right,173.0,250000.0
227961,Jaime Mata,2024,Spain,Madrid,Spain,right,186.0,10000000.0
228761,Jony,2021,Spain,Cangas de Narcea,Spain,left,179.0,10000000.0
228917,Jorge Miramón,2021,Spain,Zaragoza,Spain,right,175.0,3500000.0
228948,Thilo Kehrer,2024,Germany,Tbingen,Germany,both,186.0,35000000.0
229004,Moussa Dembélé,2022,France,Pontoise,France,right,187.0,50000000.0
229005,Abdou Diallo,2022,France,Tours,Senegal,left,187.0,35000000.0
229006,Franck Honorat,2024,France,Toulon,France,right,180.0,12000000.0
229804,Aritz Elustondo,2024,Spain,Beasain,Spain,right,180.0,20000000.0
229853,Birama Touré,2022,Mali,Kayes,Mali,right,183.0,2000000.0
